src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-11 22:00,6,194,0,1,Clear,1018,52,1,0,71,16
wunder,hourly,2016-03-11 18:00,6,174,0,0,Clear,1018,57,1,0,60,19
wunder,hourly,2016-03-12 10:00,6,191,0,1,Clear,1018,55,10,0,63,11
wunder,hourly,2016-03-12 00:00,6,201,0,1,Clear,1018,51,3,0,75,14
wunder,hourly,2016-03-12 17:00,5,137,0,0,Partly Cloudy,1013,62,47,0,46,13
wunder,hourly,2016-03-12 18:00,5,124,0,0,Mostly Cloudy,1012,60,62,0,50,11
wunder,hourly,2016-03-12 09:00,4,199,0,1,Clear,1018,51,7,0,66,10
wunder,hourly,2016-03-12 22:00,6,142,0,4,Mostly Cloudy,1012,52,77,0,70,11
wunder,hourly,2016-03-12 05:00,4,213,0,2,Clear,1018,46,2,0,81,11
wunder,hourly,2016-03-12 11:00,6,193,0,0,Clear,1017,57,15,0,57,13
wunder,hourly,2016-03-11 23:00,6,198,0,1,Clear,1018,51,2,0,73,16
wunder,hourly,2016-03-12 15:00,5,162,0,0,Partly Cloudy,1014,64,43,0,43,13
wunder,hourly,2016-03-12 03:00,6,212,0,2,Clear,1018,48,0,0,79,13
wunder,hourly,2016-03-11 13:00,4,173,0,0,Clear,1021,56,11,0,56,24
wunder,hourly,2016-03-11 17:00,6,176,0,0,Clear,1018,59,1,0,54,21
wunder,hourly,2016-03-11 15:00,6,182,0,0,Clear,1019,61,2,0,50,24
wunder,hourly,2016-03-11 12:00,3,165,0,0,Clear,1022,52,12,0,59,23
wunder,hourly,2016-03-11 21:00,6,190,0,1,Clear,1019,53,0,0,67,18
wunder,hourly,2016-03-11 16:00,6,180,0,0,Clear,1019,60,1,0,51,24
wunder,hourly,2016-03-12 19:00,6,130,0,5,Mostly Cloudy,1012,58,64,0,56,11
wunder,hourly,2016-03-11 11:00,2,158,0,0,Clear,1023,48,15,0,63,18
wunder,hourly,2016-03-12 06:00,4,208,0,2,Clear,1018,45,3,0,80,10
wunder,hourly,2016-03-12 04:00,5,213,0,2,Clear,1018,47,1,0,79,11
wunder,hourly,2016-03-12 20:00,6,138,0,5,Mostly Cloudy,1013,55,66,0,62,11
wunder,hourly,2016-03-11 19:00,6,175,0,0,Clear,1018,55,1,0,64,18
wunder,hourly,2016-03-12 21:00,6,145,0,5,Mostly Cloudy,1012,53,70,0,66,11
wunder,hourly,2016-03-12 16:00,4,151,0,0,Mostly Cloudy,1013,63,60,0,44,13
wunder,hourly,2016-03-12 02:00,6,209,0,2,Clear,1018,49,1,0,77,14
wunder,hourly,2016-03-12 13:00,6,183,0,0,Partly Cloudy,1015,62,39,0,49,13
wunder,hourly,2016-03-11 14:00,5,178,0,0,Clear,1020,60,1,0,51,24
wunder,hourly,2016-03-12 12:00,6,189,0,0,Clear,1016,60,19,0,53,11
wunder,hourly,2016-03-12 14:00,6,172,0,0,Partly Cloudy,1014,63,55,0,46,13
wunder,hourly,2016-03-12 08:00,4,199,0,2,Clear,1018,47,5,0,72,8
wunder,hourly,2016-03-12 01:00,6,205,0,2,Clear,1018,50,2,0,77,14
wunder,hourly,2016-03-12 07:00,4,204,0,2,Clear,1018,45,4,0,79,8
wunder,hourly,2016-03-11 20:00,6,182,0,0,Clear,1018,54,0,0,66,18
