src,type,key,dewpoint,wdir,qpf,pop,condition,mslp,temp,sky,snow,humidity,wspd
wunder,hourly,2016-03-14 09:00,7,153,0,24,Overcast,1004,48,90,0,87,6
wunder,hourly,2016-03-13 15:00,4,147,0,15,Overcast,1007,54,99,0,60,16
wunder,hourly,2016-03-13 20:00,6,135,1,45,Chance of Rain,1006,51,94,0,72,11
wunder,hourly,2016-03-14 11:00,8,154,0,24,Overcast,1003,52,82,0,82,8
wunder,hourly,2016-03-13 23:00,6,147,0,15,Overcast,1006,49,82,0,80,10
wunder,hourly,2016-03-14 20:00,11,116,0,45,Chance of Rain,1001,55,92,0,85,11
wunder,hourly,2016-03-15 01:00,10,126,0,36,Chance of Rain,1000,52,97,0,92,13
wunder,hourly,2016-03-14 14:00,9,160,0,19,Overcast,1002,55,92,0,79,10
wunder,hourly,2016-03-14 01:00,6,146,0,18,Overcast,1005,49,96,0,82,10
wunder,hourly,2016-03-14 13:00,9,160,0,22,Overcast,1003,55,89,0,77,8
wunder,hourly,2016-03-13 18:00,6,140,0,0,Overcast,1006,52,99,0,66,13
wunder,hourly,2016-03-14 22:00,11,125,0,49,Chance of Rain,1002,53,98,0,90,13
wunder,hourly,2016-03-14 16:00,10,153,0,19,Overcast,1002,57,95,0,79,11
wunder,hourly,2016-03-14 10:00,7,151,0,24,Overcast,1004,50,87,0,84,8
wunder,hourly,2016-03-14 18:00,11,124,0,5,Overcast,1001,57,93,0,80,11
wunder,hourly,2016-03-13 17:00,5,143,0,15,Overcast,1007,54,100,0,60,14
wunder,hourly,2016-03-14 06:00,6,143,0,24,Overcast,1004,47,99,0,87,8
wunder,hourly,2016-03-15 00:00,10,127,0,36,Chance of Rain,1001,52,98,0,92,14
wunder,hourly,2016-03-14 21:00,11,121,0,48,Chance of Rain,1002,54,94,0,88,13
wunder,hourly,2016-03-13 19:00,6,137,0,36,Chance of Rain,1006,52,98,0,69,13
wunder,hourly,2016-03-14 03:00,6,149,1,49,Chance of Rain,1004,48,97,0,85,10
wunder,hourly,2016-03-14 04:00,6,150,0,56,Chance of Rain,1004,48,98,0,85,8
wunder,hourly,2016-03-14 15:00,10,147,0,19,Overcast,1002,56,94,0,80,10
wunder,hourly,2016-03-15 02:00,10,129,0,54,Chance of Rain,1000,52,92,0,93,13
wunder,hourly,2016-03-14 07:00,6,142,0,35,Chance of Rain,1004,47,99,0,87,8
wunder,hourly,2016-03-13 22:00,6,144,0,15,Overcast,1006,50,95,0,76,10
wunder,hourly,2016-03-13 21:00,6,134,0,30,Chance of Rain,1006,50,95,0,75,11
wunder,hourly,2016-03-14 00:00,6,145,0,34,Chance of Rain,1005,49,73,0,80,10
wunder,hourly,2016-03-13 16:00,4,145,0,15,Overcast,1007,54,99,0,59,14
wunder,hourly,2016-03-14 19:00,11,112,0,5,Overcast,1001,57,96,0,82,11
wunder,hourly,2016-03-14 12:00,9,159,0,22,Overcast,1003,53,83,0,81,8
wunder,hourly,2016-03-14 23:00,10,125,0,37,Chance of Rain,1001,53,98,0,92,14
wunder,hourly,2016-03-14 05:00,6,144,0,24,Overcast,1004,47,99,0,86,8
wunder,hourly,2016-03-14 17:00,11,145,0,15,Overcast,1001,57,96,0,79,11
wunder,hourly,2016-03-14 08:00,6,146,0,34,Chance of Rain,1004,47,94,0,87,6
wunder,hourly,2016-03-14 02:00,6,149,0,57,Chance of Rain,1005,48,94,0,84,10
